ds,yhat,yhat_lower,yhat_upper
2008-12-31,26.51945054107792,19.61640873419112,32.59051571683156
2009-01-01,27.803416532400625,21.026824362502744,34.49958747720795
2009-01-02,26.276176181771294,19.79345193771486,32.82079205990668
2009-01-03,26.293534649771473,19.692056900859775,32.82799368148318
2009-01-04,26.74754613776053,20.65524020470382,33.17048220367362
2009-01-05,26.33225150926712,19.65107862992002,32.672644122048446
2009-01-06,26.148116270038006,19.502456358818343,32.81949742872955
2009-01-07,26.29147017945392,19.965009860982978,32.906249874108205
2009-01-08,26.840747549260342,20.35673009605861,32.798184148592206
2009-01-09,26.150641441678793,19.74618385131142,32.46881725317279
2009-01-10,26.216830054299542,19.423222641917466,33.025906857781216
2009-01-11,26.716564895308462,20.09108983747088,32.947826440502936
2009-01-12,26.342918784979197,20.497979880930146,33.32014947441324
2009-01-13,26.195551311608835,19.359063239083174,32.93614901283531
2009-01-14,26.37016685502705,19.787665613474786,33.230586533024585
2009-01-15,26.944767429410465,20.588050275662678,33.648479803374784
2009-01-16,26.273813288298566,19.939832760815197,32.71073999736529
2009-01-17,26.35294949908758,19.641132143880455,32.9213529567421
2009-01-18,26.859588199750448,20.299564908377253,33.70302741960312
2009-01-19,29.276701058771675,22.945853202481096,35.76164260821763
2009-01-20,26.335786688541205,19.677239800089204,32.871234619482046
2009-01-21,26.501868780319718,19.732361451105636,33.19410372552537
2009-01-22,27.064161251711447,20.385257242288077,33.703398470098875
2009-01-23,26.37798094043091,20.288850867783236,32.494176984981685
2009-01-24,26.439886974332637,19.986935718662647,32.98929709852704
2009-01-25,26.928230882853665,20.545944198438086,32.897342224324234
2009-01-26,26.537360617475432,19.65905410288625,33.372910219441295
2009-01-27,26.368337596245045,19.53889701513101,33.09985603029819
2009-01-28,26.518343488133254,19.80189238833323,32.62334583103582
2009-01-29,27.066880656722894,20.582229046833437,33.870040639484046
2009-01-30,26.369880886975906,19.91857915737915,32.9709161709352
2009-01-31,26.424382244105068,19.253088434722763,32.73963661464279
2009-02-01,26.90906532954923,20.14633306348328,33.38042301863379
2009-02-02,26.518448678465948,19.895234636354097,33.42385043766525
2009-02-03,26.353602628811558,20.139320752462293,33.27184597709002
2009-02-04,26.5115584175453,20.16648138939375,33.45314898548809
2009-02-05,27.071516287947528,20.86477467484847,33.653268101384874
2009-02-06,26.388966926497027,19.5816866248536,32.992852017514544
2009-02-07,26.46038561384994,19.658453132715326,33.02621613985045
2009-02-08,26.9637897469472,20.720647546055783,33.72721563585412
2009-02-09,26.592958745029208,19.95082755039357,32.91290159849746
2009-02-10,26.448174838264368,19.709681363861385,32.941810951293746
2009-02-11,26.625660590035444,20.017663519655876,33.90489769277336
2009-02-12,27.20381598837654,20.441092075211664,33.39576959867027
2009-02-13,26.537368462610157,20.01355355830127,32.877756896909325
2009-02-14,26.622094264197553,20.19106196392258,33.42230466369324
2009-02-15,27.13540096996338,20.673878323835563,33.78303129010257
2009-02-16,27.48753992101782,21.252678106569135,34.14798010100877
2009-02-17,26.627512005801393,20.229302171278185,33.41834585857216
2009-02-18,26.802225144361493,20.583627816970395,33.47016075947409
2009-02-19,27.373034014398556,20.472614605460628,34.349854839923
2009-02-20,26.69474691787431,20.20278621695212,33.380318846282094
2009-02-21,26.763374992879513,20.21353663700227,33.29468877229323
2009-02-22,27.256707937972976,21.10089403444627,33.60442729177603
2009-02-23,26.868544025446894,19.969775212174408,33.162254509360125
2009-02-24,26.699432554745627,20.155810459604872,33.72183375280461
2009-02-25,26.84610452596513,20.757698162250833,33.22469806785957
2009-02-26,27.387694576310167,21.274006916040783,33.38436109996544
2009-02-27,26.679868015509168,19.872947715050774,33.19925164001891
